gene_id,BonitaEye1,BonitaEye2,BonitaEye3,BonitaEye4,CuevaEye1,CuevaEye2,CuevaEye3,CuevaEye4,LunaEye1,LunaEye2,LunaEye3,LunaEye4,PSOEye1,PSOEye2,PSOEye3,PSOEye4
gene1486,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
gene24640,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
gene24641,50,0,19,0,0,132,0,3,37,0,42,10,55,48,22,6
gene24642,0,0,0,0,0,9,0,0,6,0,0,0,0,5,0,0
gene24643,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
gene24644,64,0,19,0,4,210,10,6,152,17,78,29,29,32,0,2
gene24645,8,0,0,3,19,24,0,0,14,0,24,17,0,3,0,0
gene24646,58,0,23,0,48,52,9,14,92,0,70,40,19,94,6,11
gene24647,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
gene24648,9,0,3,0,7,56,0,15,46,0,82,9,18,8,0,0
gene24649,2,0,0,2,0,9,0,0,3,0,3,0,0,0,0,0
gene29070,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
gene29071,11,0,6,0,0,0,0,0,9,0,0,0,7,6,0,0
gene29072,20,0,9,0,0,50,0,0,26,0,26,9,38,26,15,0
gene29073,24,0,0,0,0,122,0,0,98,0,105,23,8,20,0,0
gene29074,0,0,0,0,0,0,2,0,0,0,16,0,0,10,0,0
gene29075,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
gene29076,48,0,6,0,0,74,0,0,65,0,22,9,65,9,41,3
gene29077,0,0,0,0,16,0,0,0,20,0,14,7,22,34,2,0
gene29078,9,2,0,0,0,23,0,0,19,0,5,0,46,6,0,5
gene29079,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
gene11268,0,0,0,0,0,18,0,0,0,0,0,0,0,18,0,0
gene11269,0,0,0,0,0,0,0,0,0,0,11,0,12,0,0,0
gene11262,2,0,0,0,0,0,0,0,18,0,6,0,9,0,0,0
gene11263,8,0,0,0,0,14,0,0,12,0,9,5,0,0,3,0
gene11260,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
gene11261,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
gene11266,3,0,0,0,0,47,0,0,36,0,9,0,6,5,0,0
gene11267,7,0,0,0,0,55,31,0,19,0,70,0,22,17,0,0
gene11264,33,0,0,0,0,17,15,0,59,0,49,19,24,7,4,8
gene11265,0,0,0,0,0,6,0,6,13,0,28,13,0,14,0,0
gene4937,0,0,6,2,0,6,0,0,13,0,14,0,22,25,0,3
gene4936,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
gene4935,19,0,11,0,0,34,0,0,14,0,0,8,11,17,0,0
gene4934,0,0,0,26,0,0,13,5,30,0,0,0,11,9,3,0
gene4933,9,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0
gene4932,10,3,0,7,0,55,0,0,17,0,27,3,11,0,0,0
gene4931,0,0,5,0,0,28,0,0,0,0,0,0,20,2,0,0
gene4930,0,0,0,0,0,3,0,0,0,0,0,0,0,4,0,0
gene4939,13,0,0,44,0,46,14,0,37,0,17,6,9,17,0,0
gene4938,30,5,0,36,62,55,14,18,58,0,41,29,76,120,0,2
gene5048,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
gene5049,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
gene5044,11,0,3,13,0,22,0,0,3,0,9,0,2,0,0,0
gene5045,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
gene5046,19,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0
gene5047,0,0,0,0,9,0,0,0,0,0,0,0,0,0,0,0
gene5040,0,0,0,0,8,22,0,0,0,9,3,0,0,3,0,0
